Metric,FY 2024-25,FY 2023-24,FY 2022-23,FY 2021-22,FY 2020-21,FY 2019-20
Fatal accidents total,0,0,0,2,0,1
Total Recordable Frequency Rate (TRFR),0.31,0.32,0.34,0.33,0.44,0.34
