Metric,FY 2024-25,FY 2023-24,FY 2022-23,FY 2021-22,FY 2020-21
Environmental prosecutions and fines (number),0,0,0,0,0
Environmental prosecutions and fines (total cost INR),0,0,0,0,0
Environmental liability acccrued at year end (total cost INR),0,0,0,0,0
